ubigeo,population,rural_pop,capital_pop,ccpp_count,primary_care_n,area_sqkm,department,province,district,rural_share,settlement_dispersion,population_density,primary_care_per_10k,altitude_m
020111,3853.0,3343.0,510.0,61.0,2.0,261.26216467,ANCASH,HUARAZ,PIRA,0.8676356086166623,0.8676356086166623,14.747638659683926,5.190760446405398,3441.5
020112,5344.0,3824.0,1094.0,39.0,4.0,117.15042657,ANCASH,HUARAZ,TARICA,0.7155688622754491,0.7952844311377245,45.61656458678655,7.485029940119761,2876.0
020201,2064.0,1000.0,843.0,46.0,1.0,162.41960958,ANCASH,AIJA,AIJA,0.4844961240310077,0.5915697674418605,12.70782515323911,4.844961240310077,3476.0
020202,2145.0,1692.0,453.0,95.0,3.0,259.02271296,ANCASH,AIJA,CORIS,0.7888111888111888,0.7888111888111888,8.281127069853698,13.986013986013987,2161.5
020203,556.0,224.0,332.0,11.0,1.0,39.91669407,ANCASH,AIJA,HUACLLAN,0.4028776978417266,0.40287769784172667,13.929009226690201,17.98561151079137,3144.0
020204,2371.0,2064.0,307.0,62.0,2.0,156.69660985,ANCASH,AIJA,LA MERCED,0.8705187684521299,0.8705187684521299,15.131150586280539,8.435259384226065,3613.0
020205,905.0,533.0,372.0,28.0,2.0,77.40908993,ANCASH,AIJA,SUCCHA,0.5889502762430939,0.5889502762430939,11.691133442059316,22.099447513812155,2914.0
020301,3849.0,2042.0,1807.0,45.0,1.0,95.99641317,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,0.5305274097168096,0.5305274097168096,40.09524807123583,2.5980774227071968,3097.0
020302,2378.0,1914.0,464.0,32.0,3.0,66.10851388,ANCASH,ANTONIO RAYMONDI,ACZO,0.8048780487804879,0.8048780487804879,35.971161056751924,12.615643397813288,2700.5
020303,1951.0,1370.0,581.0,39.0,1.0,71.9877789,ANCASH,ANTONIO RAYMONDI,CHACCHO,0.7022039979497694,0.7022039979497694,27.101822417804865,5.125576627370579,3081.0
020304,2088.0,1359.0,729.0,37.0,1.0,50.792558,ANCASH,ANTONIO RAYMONDI,CHINGAS,0.6508620689655172,0.6508620689655172,41.10838442119808,4.7892720306513406,3262.5
020305,5235.0,4581.0,654.0,55.0,5.0,172.06308483,ANCASH,ANTONIO RAYMONDI,MIRGAS,0.8750716332378223,0.8750716332378223,30.42488750665043,9.551098376313275,3386.0
